?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/FBbt_20003427>	"Adult brain-intrinsic neuron of the SMP565 group, with its soma in the brain, posterior to the posterior lateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the VLPl&p1 posterior hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral superior medial protocerebrum and the contralateral superior medial protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral superior medial protocerebrum and the contralateral superior medial protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 3 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20003427"
<http://purl.obolibrary.org/obo/FBbt_20003029>	"Adult neuron belonging to group 167 of the terra incognita neurons with substantial synapsing in the superior medial protocerebrum (Scheffer et al., 2020). It has postsynaptic sites in the superior medial protocerebrum and superior neuropils (Scheffer et al., 2020). It has presynaptic sites in the superior medial protocerebrum and superior neuropils (Scheffer et al., 2020)."	"VFB:FBbt_20003029"
<http://purl.obolibrary.org/obo/FBbt_20005593>	"Adult brain-intrinsic neuron of the CB2007 group, with its soma in the brain, ventral to the lateral horn (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the LHa3 hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral superior lateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral superior lateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 3 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20005593"
<http://purl.obolibrary.org/obo/FBbt_20000718>	"Adult brain-intrinsic neuron of the CL013 group, with its soma in the brain, near to the lateral horn (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the SLPav2 hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral inferior clamp and the ipsilateral superior clamp (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral inferior clamp and the ipsilateral superior clamp (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is glutamate (Eckstein et al., 2024). There are approximately 5 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20000718"
<http://purl.obolibrary.org/obo/FBbt_00048988>	"Larval interneuron of the A14a1 group that is relatively late-born in the NB4-1 Notch ON primary hemilineage and has predominantly dorsal terminals (Mark et al., 2021)."	"VFB:FBbt_00048988"
<http://purl.obolibrary.org/obo/FBbt_00003392>	"Any muscle cell (FBbt:00005074) that is part of some subalar muscle 57 (FBbt:00058913)."	
<http://purl.obolibrary.org/obo/FBbt_00110536>	"A clone of neurons in the adult brain that expresses fruitless, whose cell bodies are located dorsomedial to the antennal lobe. Neurites project bilaterally terminating with granular arborizations in the medial subesophageal zone and in the ipsilateral dorsal medial protocerebrum."	
<http://purl.obolibrary.org/obo/FBbt_20008979>	"Adult intrinsic neuron of the IN04B038 group with ipsilateral arbors in a single VNC neuromere (Takemura et al., 2024; Marin et al., 2024). It is a secondary neuron of the 04B hemilineage (Takemura et al., 2024; Marin et al., 2024). It receives input in the T1 leg neuropil and sends output to the T1 leg neuropil (Takemura et al., 2024; Marin et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 3 of these cells per organism and their somas are found in the prothoracic neuromere (Takemura et al., 2024; Marin et al., 2024)."	"VFB:FBbt_20008979"
<http://purl.obolibrary.org/obo/GO_0032879>	"Any process that modulates the frequency, rate or extent of any process in which a cell, a substance, or a cellular entity is transported to, or maintained in, a specific location."	
<http://purl.obolibrary.org/obo/FBbt_00004396>	"Longitudinal bracted bristle row of the adult tarsi of the mesothoracic leg. It is posterior to row 1, in a posterioventral position."	"VFB:FBbt_00004396"
<http://purl.obolibrary.org/obo/FBbt_00007123>		
<http://purl.obolibrary.org/obo/FBbt_00058168>	"Any disc epithelium proper (FBbt:00007029) that is part of some male genital disc (FBbt:00001785)."	
<http://purl.obolibrary.org/obo/FBbt_00052532>	"Lateral subregion of the adult borboleta region (Munch et al., 2022). Its activity can stimulate yeast feeding in fed flies (Munch et al., 2022)."	"VFB:FBbt_00052532"
<http://purl.obolibrary.org/obo/FBbt_20000267>	"Adult brain-intrinsic neuron of the AVLP158 group, with its soma in the brain, anterior to the anterior ventrolateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the VLPl2 medial hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral anterior ventrolateral protocerebrum, the ipsilateral posterior ventrolateral protocerebrum and the ipsilateral inferior clamp (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral inferior clamp, the ipsilateral anterior ventrolateral protocerebrum, the ipsilateral posterior ventrolateral protocerebrum, the contralateral inferior clamp and the ipsilateral gorget (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20000267"
<http://purl.obolibrary.org/obo/FBbt_20011305>	"Adult sensory neuron of the SNxx09 group (Takemura et al., 2024; Marin et al., 2024). It enters the VNC via the abdominal nerve trunk (Takemura et al., 2024; Marin et al., 2024). It receives input in the abdomen and sends output to the abdominal neuromere (Takemura et al., 2024; Marin et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Takemura et al., 2024; Marin et al., 2024)."	"VFB:FBbt_20011305"
<http://purl.obolibrary.org/obo/FBbt_00059320>	"A(n) somatic cell that is part of a(n) midline primordium."	
<http://purl.obolibrary.org/obo/FBbt_00047682>	"Ascending neuron of the larval ventral nerve cord that is part of lineage 0. These are found in multiple segments and receive input from Basin neurons (Ohyama et al., 2015). They output onto the subesophageal zone descending neurons (Ohyama et al., 2015)."	"VFB:FBbt_00047682"
<http://purl.obolibrary.org/obo/FBbt_00005875>	"A neuroblast located in the ventral region of the anterior protocerebrum."	"VFB:FBbt_00005875"
<http://purl.obolibrary.org/obo/GO_0050905>	"Any process pertaining to the functions of the nervous and muscular systems of an organism."	
<http://purl.obolibrary.org/obo/FBbt_00004966>	"Duct that connects the ejaculatory bulb to the aedeagus in the male adult genitalia. It is 300 micrometers long with a diameter of 11-18 micrometers, continuous with the intima lining the ejaculatory bulb. Its wall is chitinous and 0.5 micrometers thick, with small scattered nuclei on its surface. The duct passes below the rectum and opens below the ninth and tenth abdominal segments."	
<http://purl.obolibrary.org/obo/FBbt_00040034>	"A concentric subdivision of the ellipsoid body resulting from the arborization patterns of the ring neurons (FBbt:00003649)."	"VFB:FBbt_00040034"
<http://purl.obolibrary.org/obo/FBbt_10005336>	"Primordium that develops into the esophageal visceral muscle. It develops from an anterior region of the secondary head mesoderm (de Velasco et al., 2006)."	
<http://purl.obolibrary.org/obo/FBbt_20004128>	"Adult brain-intrinsic neuron of the CB0341 group, with its soma in the brain, posterior-ventral to the antennal mechanosensory and motor center (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the LB7 hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the gnathal ganglia and the contralateral anterior ventrolateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the contralateral anterior ventrolateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20004128"
<http://purl.obolibrary.org/obo/FBbt_20003957>	"Adult brain-intrinsic neuron of the CB0115 group, with its soma in the brain, near to the gall (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the VLPa2 hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral posterior ventrolateral protocerebrum and the ipsilateral anterior ventrolateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral posterior ventrolateral protocerebrum, the ipsilateral anterior ventrolateral protocerebrum and the contralateral posterior ventrolateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is gaba (Eckstein et al., 2024). There are approximately 4 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20003957"
<http://purl.obolibrary.org/obo/FBbt_00110852>	"Adult male fruitless neuron with its cell body in the ventral abdominal neuromere and arbors in the vicinity of the fore-, mid- and hindleg afferents (Yu et al., 2010). It has an ascending axonal projection that innervates the subesophageal zone (SEZ) and lateral protocerebrum (Yu et al., 2010). Its SEZ arbors are located more ventrally than those of the female equivalent (Yu et al., 2010)."	"VFB:FBbt_00110852"
<http://purl.obolibrary.org/obo/FBbt_00047930>	"Bilateral, multiglomerular antennal lobe AST-associated neuron that forms non-glomerular arborizations within the antennal lobe and also innervates the gnathal ganglion."	"VFB:FBbt_00047930"
<http://purl.obolibrary.org/obo/FBbt_20006179>	"Adult brain-intrinsic neuron of the CB2647 group, with its soma in the brain, anterior to the antennal mechanosensory and motor center (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the TRdl b hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the gnathal ganglia and the prow (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the gnathal ganglia (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 4 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20006179"
<http://purl.obolibrary.org/obo/FBbt_20006977>	"Adult brain-intrinsic neuron of the CB3529 group, with its soma in the brain, dorsal to the antler (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the SMPpv1 hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral superior medial protocerebrum and the contralateral flange (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral superior medial protocerebrum, the contralateral flange and the prow (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 3 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20006977"
<http://purl.obolibrary.org/obo/FBbt_00049673>	"Adult lateral horn output neuron of the AV3d1 group that fasciculates with the AV3 primary neurite tract (Bates et al., 2020). It is a secondary neuron that is part of the SLPpl3 lateral hemilineage (Bates et al., 2020)."	"VFB:FBbt_00049673"
<http://purl.obolibrary.org/obo/FBbt_00110041>	"Larval neuron that expresses Tachykinin (FBgn0037976) and whose cell body and arborization are located in the dorsal or medial protocerebrum (Siviter et al., 2000). The number of neurons increases during larval stages: 5 pairs are observed at first instar stage and 11 at prepupal stage P1. In third instar larvae some of these neurons have bilateral arborizations crossing the midline by two commissures (Winther et al., 2003)."	"VFB:FBbt_00110041"
<http://purl.obolibrary.org/obo/FBbt_00051023>	"Adult cell body rind region that overlies the dorsal part of the superior medial protocerebrum (Ito et al., 2014). It is also part of the superior brain cell body rind (Ito et al., 2014)."	"VFB:FBbt_00051023"
<http://purl.obolibrary.org/obo/FBbt_00046033>	"Region of the wing pouch that will develop into wing vein L5."	
<http://purl.obolibrary.org/obo/FBbt_00111462>	"Adult protocerebral bridge 1 glomerulus-fan-shaped body-ventral gall surround (PFGs) neuron that targets protocerebral bridge glomerulus 8. It targets a relatively lateral column of the ipsilateral fan-shaped body (FB), which is also targeted by the contralateral PFGs neuron of PB glomerulus 2 (Lin et al., 2013; Hulse et al., 2021). It projects to the contralateral ventral gall surround (Lin et al., 2013; Hulse et al., 2021)."	"VFB:FBbt_00111462"
<http://purl.obolibrary.org/obo/FBbt_00049560>	"Any femoral chordotonal claw neuron (FBbt:00049557) that has its soma located in some prothoracic segment (FBbt:00000017)."	"VFB:FBbt_00049560"
<http://purl.obolibrary.org/obo/FBbt_00047091>	"Larger layer of the adult mushroom body gamma lobe. It contains the axons of Kenyon cells that have dendrites in the main calyx (Aso et al., 2014)."	"VFB:FBbt_00047091"
<http://purl.obolibrary.org/obo/FBbt_20004103>	"Adult brain-intrinsic neuron of the CB0306 group, with its soma in the brain, posterior to the gnathal ganglia (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the LB19 hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the gnathal ganglia, the saddle and the contralateral antennal mechanosensory and motor center (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the saddle, the contralateral antennal mechanosensory and motor center and the gnathal ganglia (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20004103"
<http://purl.obolibrary.org/obo/FBbt_00051168>	"Adult LBL22 neuron with its soma in the metathoracic neuromere (Feng et al., 2020). It is inhibited downstream of moonwalker descending neuron activity (Feng et al., 2020). There is 1 of these cells per hemineuromere (Feng et al., 2020)."	"VFB:FBbt_00051168"
<http://purl.obolibrary.org/obo/FBbt_20009439>	"Adult intrinsic neuron of the IN08B076 group with bilateral arbors in multiple VNC neuromeres (Takemura et al., 2024; Marin et al., 2024). It is a secondary neuron of the 08B hemilineage (Takemura et al., 2024; Marin et al., 2024). It receives input in the T3 leg neuropil and sends output to the leg neuropil (Takemura et al., 2024; Marin et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 3 of these cells per organism and their somas are found in the metathoracic neuromere (Takemura et al., 2024; Marin et al., 2024)."	"VFB:FBbt_20009439"
<http://purl.obolibrary.org/obo/FBbt_00007640>	"Region of the wing disc that will develop into the postnotum."	
<http://purl.obolibrary.org/obo/FBbt_20005607>	"Adult brain-intrinsic neuron of the CB2021 group, with its soma in the brain, dorsal to the antler (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the SMPpv1 hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral superior medial protocerebrum and the contralateral flange (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the contralateral flange and the ipsilateral superior medial protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 7 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20005607"
<http://purl.obolibrary.org/obo/FBbt_00050200>	"Any neuron (FBbt:00005106) that is part of some adult (FBbt:00003004) and develops from some neuroblast BLP2 (FBbt:00100626)."	"VFB:FBbt_00050200"
<http://purl.obolibrary.org/obo/FBbt_20002753>	"Adult brain-intrinsic neuron of the SLP359 group, with its soma in the brain, posterior-lateral to the lateral horn (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the SLPpl2 hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral superior lateral protocerebrum, the ipsilateral superior medial protocerebrum and the ipsilateral posterior lateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral superior lateral protocerebrum and the ipsilateral superior medial protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 4 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20002753"
<http://purl.obolibrary.org/obo/FBbt_00100463>	"Larval projection neuron whose dendrites innervate larval antennal lobe glomerulus 42a, where it receives input from the larval ORN Or42a. It projects to larval mushroom body calyx glomerulus V9. It is strongly synapsed to lateral horn local interneuron 1 (Tastekin et al., 2018)."	"VFB:FBbt_00100463"
<http://purl.obolibrary.org/obo/FBbt_00005825>		
<http://purl.obolibrary.org/obo/FBbt_00051271>	"Protocerebral bridge 1 glomerulus-fan-shaped body-nodulus 2 dorsal domain neuron that targets protocerebral bridge glomerulus 8 (Wolff et al., 2015; Hulse et al., 2021). It arborizes in a relatively lateral ipsilateral column of the fan-shaped body (Wolff et al., 2015; Hulse et al., 2021)."	"VFB:FBbt_00051271"
<http://purl.obolibrary.org/obo/FBbt_00002431>	"Any larval abdominal lateral multidendritic neuron ldaB (FBbt:00002426) that has its soma located in some larval abdominal segment 5 (FBbt:00001752)."	"VFB:FBbt_00002431"
<http://purl.obolibrary.org/obo/FBbt_20004425>	"Adult brain-intrinsic neuron of the CB0695 group, with its soma in the brain, ventral to the antennal mechanosensory and motor center (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the MX3 hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the gnathal ganglia, the ipsilateral inferior posterior slope, the ipsilateral wedge and the ipsilateral lateral accessory lobe (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the gnathal ganglia and the ipsilateral inferior posterior slope (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is gaba (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20004425"
<http://flybase.org/reports/FBgn0037672>		
<http://purl.obolibrary.org/obo/FBbt_00008116>	"The posterior compartment of the mesothoracic leg disc."	
<http://purl.obolibrary.org/obo/FBbt_00052931>	"Bilateral neuron of the NBI004 group of the adult ventral nerve cord that primarily arborizes in the neck neuropil (Ehrhardt et al., 2023). It is an intersegmental interneuron (Ehrhardt et al., 2023). It has dendritic arborization in the ipsilateral neck neuropil (Ehrhardt et al., 2023). It has axonal arborization in the contralateral neck neuropil and haltere neuropil (Ehrhardt et al., 2023). It has its soma in a posterior-ventral-medial position in the prothoracic neuromere (Ehrhardt et al., 2023). It belongs to the 6A hemilineage of the T1 neuromere (Ehrhardt et al., 2023). There is one of these cells per hemineuromere (Ehrhardt et al., 2023)."	"VFB:FBbt_00052931"
<http://purl.obolibrary.org/obo/GO_0007186>	"The series of molecular signals initiated by a ligand binding to its receptor, in which the activated receptor promotes the exchange of GDP for GTP on the alpha-subunit of an associated heterotrimeric G-protein complex. The GTP-bound activated alpha-G-protein then dissociates from the beta- and gamma-subunits to further transmit the signal within the cell. The pathway begins with receptor-ligand interaction, and ends with regulation of a downstream cellular process. The pathway can start from the plasma membrane, Golgi or nuclear membrane."	"Reactome:R-HSA-388396 Reactome:R-HSA-373076"
<http://purl.obolibrary.org/obo/FBbt_00052517>	"Any interneuron that is born during the embryonic stage. It may persist into the adult stage, usually with some remodelling (Marin et al., 2005)."	"VFB:FBbt_00052517"
<http://purl.obolibrary.org/obo/FBbt_00003475>	"Any muscle cell (FBbt:00005074) that is part of some abdominal 3 lateral tergosternal muscle 116 (FBbt:00058992)."	
<http://purl.obolibrary.org/obo/FBbt_00002515>	"Any v'es2 neuron (FBbt:00002050) that has its soma located in some larval abdominal segment 7 (FBbt:00001754)."	"VFB:FBbt_00002515"
<http://purl.obolibrary.org/obo/FBbt_00047932>	"Descending neuron of the adult with its cell body in the posterior rind, below the mushroom body calyx. It arborizes in multiple antennal lobe glomeruli with non-glomerular arborizations and also innervates various other neuropil regions in both hemispheres. One branch arborizes in the anterior ventrolateral protocerebrum, then projects via the lateral antennal lobe tract to the superior clamp and the ventral area of the anterior superior lateral protocerebrum. Another branch projects to the ring neuropil. Another branch passes through, and arborizes in, the gnathal ganglion, then descends via the cervical connective to the ventral nerve cord. Tanaka et al. (2012) identified a single neuron of this type."	"VFB:FBbt_00047932"
<http://purl.obolibrary.org/obo/FBbt_00048837>	"Larval VA3 motor neuron with its soma in the abdominal 6 neuromere. It forms type Ib synapses to a muscle cell of abdominal 6 ventral acute muscle 3."	"VFB:FBbt_00048837"
<http://purl.obolibrary.org/obo/FBbt_20005849>	"Adult brain-intrinsic neuron of the CB2285 group, with its soma in the brain, lateral to the anterior optic tubercle (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the SLPad1 anterior hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral superior lateral protocerebrum, the ipsilateral posterior lateral protocerebrum and the ipsilateral superior clamp (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral superior lateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 6 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20005849"
<http://purl.obolibrary.org/obo/FBbt_00003488>	"Any muscle cell (FBbt:00005074) that is part of some abdominal 2 spiracular muscle 112 (FBbt:00059004)."	
<http://purl.obolibrary.org/obo/FBbt_00005826>		
<http://purl.obolibrary.org/obo/FBbt_20008995>	"Adult intrinsic neuron of the IN04B056 group with bilateral arbors in a single VNC neuromere (Takemura et al., 2024; Marin et al., 2024). It is a secondary neuron of the 04B hemilineage (Takemura et al., 2024; Marin et al., 2024). It receives input in the T2 leg neuropil and sends output to the T2 leg neuropil (Takemura et al., 2024; Marin et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 2 of these cells per organism and their somas are found in the mesothoracic neuromere (Takemura et al., 2024; Marin et al., 2024)."	"VFB:FBbt_20008995"
<http://purl.obolibrary.org/obo/FBbt_20000097>	"Adult brain-intrinsic neuron of the ATL033 group, with its soma in the brain, medial to the mushroom body calyx (Schlegel et al., 2024; Dorkenwald et al., 2024). It is a putative embryonic-born neuron (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral crepine, the ipsilateral superior medial protocerebrum, the ipsilateral lateral accessory lobe and the ipsilateral antler (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral antler, the ipsilateral inferior bridge, the contralateral antler and the contralateral inferior bridge (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is glutamate (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20000097"
<http://purl.obolibrary.org/obo/FBbt_20004041>	"Adult brain-intrinsic neuron of the CB0227 group, with its soma in the brain, lateral to the flange (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the FLAa2 hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral superior lateral protocerebrum, the gnathal ganglia and the prow (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral superior lateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20004041"
<http://purl.obolibrary.org/obo/FBbt_00003467>	"Any muscle cell (FBbt:00005074) that is part of some abdominal 6 dorsal muscle 133 (FBbt:00058984)."	
<http://purl.obolibrary.org/obo/FBbt_20005688>	"Adult brain-intrinsic neuron of the CB2111 group, with its soma in the brain, posterior to the lateral horn (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the LHp1 hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral lateral horn (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral lateral horn and the ipsilateral superior lateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is glutamate (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20005688"
<http://purl.obolibrary.org/obo/FBbt_20010294>	"Adult intrinsic neuron of the IN18B014 group with bilateral arbors in multiple VNC neuromeres (Takemura et al., 2024; Marin et al., 2024). It is a primary neuron of the 18B hemilineage (Takemura et al., 2024; Marin et al., 2024). It receives input in the T1 leg neuropil and sends output to the T1 leg neuropil and T2 leg neuropil (Takemura et al., 2024; Marin et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 2 of these cells per organism and their somas are found in the mesothoracic neuromere (Takemura et al., 2024; Marin et al., 2024)."	"VFB:FBbt_20010294"
<http://purl.obolibrary.org/obo/FBbt_00004752>	"Posteriormost vein of the basal wing area (Stark, 1999; Fabian et al., 2016). It begins distal to the median plate and ends around the level of the humeral crossvein (Fabian et al., 2016)."	"https://www.ento.csiro.au/biology/drosophila/melanogaster.html?A2"
<http://purl.obolibrary.org/obo/FBbt_20009676>	"Adult intrinsic neuron of the IN12A012 group with ipsilateral arbors in multiple VNC neuromeres (Takemura et al., 2024; Marin et al., 2024). It is a primary neuron of the 12A hemilineage (Takemura et al., 2024; Marin et al., 2024). It receives input in multiple regions and sends output to multiple regions (Takemura et al., 2024; Marin et al., 2024). Its predicted neurotransmitter is glutamate (Eckstein et al., 2024). There are approximately 2 of these cells per organism and their somas are found in the mesothoracic neuromere (Takemura et al., 2024; Marin et al., 2024)."	"VFB:FBbt_20009676"
<http://purl.obolibrary.org/obo/FBbt_00058370>	"."	
<http://purl.obolibrary.org/obo/FBbt_20002384>	"Adult neuron belonging to group 080 of the terra incognita neurons with substantial synapsing in the superior intermediate protocerebrum (Scheffer et al., 2020). It has postsynaptic sites in the superior lateral protocerebrum, superior neuropils and superior intermediate protocerebrum (Scheffer et al., 2020). It has presynaptic sites in the superior neuropils (Scheffer et al., 2020)."	"VFB:FBbt_20002384"
<http://purl.obolibrary.org/obo/FBbt_00050202>	"A clone of neurons in the adult brain, all of which develop from neuroblast SMPad2."	"FlyBrain_NDB:10584 VFB:FBbt_00050202"
<http://purl.obolibrary.org/obo/FBbt_00000172>	"Metameric subdivision of the embryonic abdomen."	"UBERON:6000172"
<http://purl.obolibrary.org/obo/FBbt_20006144>	"Adult brain-intrinsic neuron of the CB2607 group, with its soma in the brain, posterior to the gnathal ganglia (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the LB23 hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the gnathal ganglia (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the gnathal ganglia (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20006144"
<http://purl.obolibrary.org/obo/FBbt_20007279>	"Adult visual centrifugal neuron with its soma medial to the accessory medulla (Schlegel et al., 2024; Dorkenwald et al., 2024). It is a putative embryonic-born neuron (Schlegel et al., 2024; Dorkenwald et al., 2024). It extends multiple branches into ipsilateral lobula layer 6, spanning around 100 columns, where it has mainly presynaptic terminals (Nern et al., 2025). In the central brain, it receives input in the ipsilateral posterior lateral protocerebrum, superior posterior slope, and inferior clamp (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024; Nern et al., 2025). There are approximately 2 of these cells per hemisphere (Nern et al., 2025)."	"VFB:FBbt_20007279"
<http://purl.obolibrary.org/obo/FBbt_00000522>	"Any muscle cell (FBbt:00005074) that is part of some mesothoracic dorsal acute muscle (FBbt:00058353)."	
<http://purl.obolibrary.org/obo/FBbt_00048888>	"Any neuron that develops from neuroblast NB6-1 during the embryonic phase of neurogenesis."	"VFB:FBbt_00048888"
